,RQI
113,0.1546229588360944
114,0.18282115814872216
115,0.18022782418843783
116,0.22360464882928655
117,0.1974790021919964
118,0.1922398771102323
119,0.1855533627953207
120,0.12712528574937526
121,0.1291195739085666
122,0.13584620587293275
123,0.13798697701005558
124,0.13696825080453126
125,0.1576584362195301
126,0.1546229588360944
127,0.16329091263321818
128,0.11384347815853278
129,0.14359742071019452
130,0.14180246322982704
131,0.135137146165258
132,0.08810601727672554
133,0.08810601727672554
134,0.08810601727672554
135,0.12169734804876563
136,0.12363733116429063
137,0.08810601727672554
138,0.08739842075298507
139,0.08739842075298507
140,0.08739842075298507
141,0.08810601727672554
142,0.08810601727672554
143,0.12491063486573784
144,0.12280731827110272
145,0.1777535165638119
146,0.17041569837046697
147,0.17283227060079687
148,0.2587053090853805
149,0.2063008949013812
150,0.20491330545266295
151,0.18591478845241677
152,0.13611173128665258
153,0.19027766295899207
154,0.1975837906179375
155,0.1350104365744289
156,0.13075743677078597
157,0.1350601806993058
158,0.14022245760455346
159,0.10598070861010994
160,0.10551718670842308
161,0.14063866160904984
162,0.1451841609757122
163,0.13798697701005558
164,0.13796762199715604
165,0.08810601727672554
166,0.08810601727672554
167,0.08810601727672554
168,0.12321602464388236
169,0.12555182952236071
170,0.08810601727672554
171,0.08739842075298507
172,0.08739842075298507
173,0.08810601727672554
174,0.08739842075298507
175,0.08810601727672554
176,0.12205955230377555
177,0.1803406497654734
178,0.12030278798867727
179,0.09976944478076112
180,0.16154016677864863
181,0.15975272292647477
182,0.19870519303887205
183,0.19865375548545844
184,0.19263690558688773
185,0.1819160019223946
186,0.1318236691499501
187,0.13798697701005558
188,0.13075743677078597
189,0.13486826768801294
190,0.13455756477165878
191,0.19161563470322177
192,0.13957720104269927
193,0.14135412316295665
194,0.13833733521243433
195,0.14329527087767777
196,0.1421710069164595
197,0.13024131964174188
198,0.08810601727672554
199,0.08810601727672554
200,0.12381993485579375
201,0.08810601727672554
202,0.08810601727672554
203,0.08810601727672554
204,0.08739842075298507
205,0.08810601727672554
206,0.08739842075298507
207,0.08810601727672554
208,0.08739842075298507
209,0.08810601727672554
210,0.12542227339523462
211,0.1070668856637127
212,0.10883359097691134
213,0.10323233892471549
214,0.1566261115500848
215,0.21336010018131693
216,0.2063354846270223
217,0.19020473978324481
218,0.1269045453373155
219,0.1308164990507872
220,0.13445869244432623
221,0.12987902997555298
222,0.12706279915851182
223,0.13127383622601646
224,0.13610300330106187
225,0.19757880176401166
226,0.13941570425912939
227,0.14131031671941616
228,0.14492101691563103
229,0.1387692535675745
230,0.12937672258904068
231,0.08810601727672554
232,0.08810601727672554
233,0.08810601727672554
234,0.08810601727672554
235,0.08739842075298507
236,0.08810601727672554
237,0.08810601727672554
238,0.08810601727672554
239,0.08739842075298507
240,0.08739842075298507
241,0.12353936217304456
242,0.08810601727672554
243,0.11775556167788394
244,0.17514809176450397
245,0.10312910670455279
246,0.13962593570164714
247,0.1382097842956147
248,0.14098832982029683
249,0.13499905532514106
250,0.13501462266104325
251,0.13079581362170228
252,0.13987425644106585
253,0.1380491623966599
254,0.1284946150233349
255,0.13075743677078597
256,0.12920316352041797
257,0.13798697701005558
258,0.13335258335678926
259,0.13798697701005558
260,0.13515386637858037
261,0.14079312022158214
262,0.13953841859971278
263,0.13448166081462143
264,0.08739842075298507
265,0.08810601727672554
266,0.08810601727672554
267,0.08739842075298507
268,0.08739842075298507
269,0.08810601727672554
270,0.08810601727672554
